Regimen Name,Regimen Number
CCEP                                                                                                                                                                                                    ,1
ALL Ph+ve Imatinib Cons HR2 Pasp                                                                                                                                                                        ,2
Streptozocin + MdG                                                                                                                                                                                      ,3
FEC 100 + DOCETAXEL + TRASTUZUMAB                                                                                                                                                                       ,4
TAC                                                                                                                                                                                                     ,5
TRANSPLANT BUSULFAN + CYCLOPHOSPHAMIDE + FLUDARABINE  + THIOTEPA                                                                                                                                        ,6
CYCLOPHOSPHAMIDE + DOCETAXEL + EPIRUBICIN  + FLUOROURACIL + Pertuzumab + Trastuzumab                                                                                                                    ,7
CML Imatinib                                                                                                                                                                                            ,8
CYCLOPHOSPHAMIDE + DOCETAXEL + EPIRUBICIN + FLUOROURACIL                                                                                                                                                ,9
CYCLOPHOSPHAMIDE + DOCETAXEL + DOXORUBICIN                                                                                                                                                              ,10
NHL IntB NHL ritux2010 GpB COP                                                                                                                                                                          ,11
AC                                                                                                                                                                                                      ,12
ALL UKALL2011 Ind A Std Dex (PAsp)                                                                                                                                                                      ,13
ALL relapse/refractory extended DI (DFDI)                                                                                                                                                               ,14
BORTEZOMIB + DOXORUBICIN                                                                                                                                                                                ,15
"NHL Inter B NHL ritu 2010 C CYVE1,2                                                                                                                                                                     ",16
METHOTREXATE + Procarbazine + RITUXIMAB                                                                                                                                                                 ,17
FEC 100                                                                                                                                                                                                 ,18
ALL UKALL2011 IndB Std Dex (PegAsp)                                                                                                                                                                     ,19
FEC + DOCETAXEL + TRASTUZUMAB                                                                                                                                                                           ,20
